utterance,llm_actual,GT_has_symptom,Pred_has_symptom,Outcome
"Uh, I've felt a little bit uh short of breath or having difficulty breathing since yesterday when the sorry since the pain started, but uh just the difficulty breathing.",[],TRUE,FALSE,FN
I do I play rugby and was tackled by another player yesterday. But but my chest felt fine after that.,[],FALSE,FALSE,TN
"No, been at home.","['feeling unwell', 'experiencing fatigue']",FALSE,TRUE,FP
"No nausea or vomiting, but I do feel a little bit hot today.",['feeling hot'],TRUE,TRUE,TP
Uh I did and it was 38 degrees.,[],FALSE,FALSE,TN
"Uh, no swelling in my legs.",['no swelling in the legs'],TRUE,TRUE,TP
"No, my energy has been good. D; Have you been having any kind of thumping or palpitations or feel like your heart has been racing at all?",[],FALSE,FALSE,TN
It uhh it does feel like it's beating faster right now. It usually only feels like this when I'm playing sports.,[],FALSE,FALSE,TN
No rashes.,['no rash'],TRUE,TRUE,TP
"Uh few weeks ago I was a little runny, but that went away on its own. I haven't had any cough.",[],FALSE,FALSE,TN
No dizziness and uh no I haven't fainted at all.,[],FALSE,FALSE,TN
"Yeah, I've been told I have high cholesterol and high blood pressure.","['High Cholesterol', 'High Blood Pressure']",TRUE,TRUE,TP
"Um, I do take medications for both blood pressure and cholesterol, Rosuvastatin and um Lisinopril and I take a multi vitamin.",[],TRUE,FALSE,FN
No allergies.,[],FALSE,FALSE,TN
No hospitalizations.,"['Fatigue', 'Headache']",FALSE,TRUE,FP
"I I live in a house with um, my parents.",[],FALSE,FALSE,TN
"Yeah, I I drive a bus for the city.",[],FALSE,FALSE,TN
"Uhh yeah, usually on Sundays I'll go for a run.",[],FALSE,FALSE,TN
"Uhh, usually I feel like it's fairly balanced overall, I might I eat out a little bit too often, but try to eat as many vegetables as I can.",[],FALSE,FALSE,TN
I do yes. Been smoking for the last 20 years roughly.,['Smoking-related health issues'],TRUE,TRUE,TP
About a half a pack to a pack a day.,[],FALSE,FALSE,TN
No alcohol.,"['headache', 'fatigue']",FALSE,TRUE,FP
"Um, no marijuana, but I have used crystal meth in the past.",[],FALSE,FALSE,TN
"Um, six days ago.",[],FALSE,FALSE,TN
"Um, I would say a couple of times a month.",[],FALSE,FALSE,TN
Uh for the last seven years.,[],FALSE,FALSE,TN
"Yeah, I've just been feeling breathless and it's getting worse. So I wanted to check it out.",[],FALSE,FALSE,TN
About two months ago.,"['Fatigue', 'Headache']",FALSE,TRUE,FP
"I guess gradually, yeah.",[],FALSE,FALSE,TN
"I'd say it's worse when I when I walk more than 50 meters. That's kind of the main like that's kind of the main trigger, just exertion.",[],FALSE,FALSE,TN
"Yeah, three months ago I was fine.",[],FALSE,FALSE,TN
"I have a cough sometimes, yeah.",[],TRUE,FALSE,FN
"Yeah, I guess I'd say I have this frothy sputum.",[],FALSE,FALSE,TN
"I would say so, yes.",[],FALSE,FALSE,TN
"Uh, I don't think so.",[],FALSE,FALSE,TN
"I would say so, yes. Yeah, I'm basically gasping for air when I lay down.",[],FALSE,FALSE,TN
I guess it's worse at night because I'm laying down.,[],FALSE,FALSE,TN
I would say like 3/4.,[],FALSE,FALSE,TN
"No, nothing like that.",[],FALSE,FALSE,TN
Prior to 2 months? No.,"['Fatigue', 'Headache']",FALSE,TRUE,FP
"I guess when I I'm not laying down or when I'm laying down, I try to add pillows, stack pillows so that it gets better.",[],FALSE,FALSE,TN
"No recent surgeries, no.",[],FALSE,FALSE,TN
"Um, no.",[],FALSE,FALSE,TN
"Uh, I would say so, yeah.",[],FALSE,FALSE,TN
"No, no chest pain.",['chest pain'],TRUE,TRUE,TP
There is some swelling.,['swelling'],TRUE,TRUE,TP
Around my legs.,['pain in the legs'],TRUE,TRUE,TP
Around the same time actually two months ago.,"['Fatigue', 'Headache']",FALSE,TRUE,FP
Nope.,[],FALSE,FALSE,TN
Not that I know of.,[],FALSE,FALSE,TN
"No, no.",[],FALSE,FALSE,TN
"Um so, yeah, so I have high blood pressure, diabetes and high cholesterol.","['High Blood Pressure', 'Diabetes', 'High Cholesterol']",TRUE,TRUE,TP
"Yep, so I take aspirin, ramipril and simvastatin.",[],FALSE,FALSE,TN
"Yeah, actually I had a heart attack four years ago.",[],FALSE,FALSE,TN
Something like a stent or something.,[],FALSE,FALSE,TN
"Um, I guess the stenting.",[],FALSE,FALSE,TN
"Um, my father died of a heart attack when he was 60.",[],FALSE,FALSE,TN
"I do, um, I work as a cashier.",[],FALSE,FALSE,TN
"Yeah, I would say so. It's been hard to make it to work and then standing around all day or if I have to go help out with something and exert myself too much, I get short of breath.",['Shortness of breath'],TRUE,TRUE,TP
I live by myself.,[],FALSE,FALSE,TN
I live in an apartment.,['Noise from neighbors'],FALSE,TRUE,FP
Not right now. I used to smoke. I used to smoke 10 a day for like 40 years.,[],FALSE,FALSE,TN
I wouldn't say well balanced. I'm trying to eat healthier but doesn't always happen.,[],FALSE,FALSE,TN
"No, I don't think so.",[],FALSE,FALSE,TN
I'm just having this really sharp pain in my chest and I'm scared. I think I'm having a heart attack.,['sharp pain in the chest'],TRUE,TRUE,TP
So about 3 days ago.,[],FALSE,FALSE,TN
"It's kind of right here, right over my heart I think, that's where it's the worst.",['heart palpitations'],TRUE,TRUE,TP
I would say it's a sharp pain.,['sharp pain'],TRUE,TRUE,TP
It just lasts for a few seconds and then it goes away.,[],FALSE,FALSE,TN
"Oh, it's usually worse when I'm coughing or laying down. Yeah, yeah.",[],FALSE,FALSE,TN
"When I when I lean forward, it actually does get better. I think about it, yeah.",[],FALSE,FALSE,TN
"No, no it hasn't.",[],FALSE,FALSE,TN
I would say a 6 out of 10.,[],FALSE,FALSE,TN
"Yeah, I think it kind of goes to my neck sometimes.",[],FALSE,FALSE,TN
"No, I don't.",[],FALSE,FALSE,TN
"No, no, nothing else, that's it, just have these sharp episodes of pain that last a couple of seconds.",['sharp episodes of pain'],TRUE,TRUE,TP
"Yeah, I took some um, I took some Tylenol and that did help.",[],FALSE,FALSE,TN
I took it once yesterday.,"['Nausea', 'Vomiting']",FALSE,TRUE,FP
"No, no I haven't.",[],FALSE,FALSE,TN
"No, well not right now, but I did have a, I did have a flu last week. I had a fever, had a runny nose. I did have a bit of a cough and I was feeling super tired, but not anymore. I'm OK now.","['fever', 'runny nose', 'cough', 'tiredness']",TRUE,TRUE,TP
No. I'm a pretty healthy 25 year old.,[],FALSE,FALSE,TN
I sometimes take Tylenol.,[],FALSE,FALSE,TN
"No no, no surgeries.",[],FALSE,FALSE,TN
"Yeah, my father, he he had a heart attack two weeks ago and he and he passed away. And I'm worried I am having a heart attack too.",[],FALSE,FALSE,TN
Yeah.,[],FALSE,FALSE,TN
"No, I'm a student. I, well as a part time job, I do work as a post man.",[],FALSE,FALSE,TN
I'm studying engineering at Western.,[],FALSE,FALSE,TN
"I live with my parents, well my mom now, in a house.",[],FALSE,FALSE,TN
"I drink occasionally, maybe one or two drinks on the weekends.",[],FALSE,FALSE,TN
Thank you.,[],FALSE,FALSE,TN
"Yeah, so this chest pain has just been coming on for the last couple of weeks now.",[],TRUE,FALSE,FN
"Um yeah, I'm I'm just feeling this chest discomfort, sort of over on the left side.",['Chest discomfort'],TRUE,TRUE,TP
"No, I don't really feel it anywhere else. Yeah, I just feel it in that one spot on the left side.",[],FALSE,FALSE,TN
It feels pretty sharp.,[],FALSE,FALSE,TN
It comes and goes. I would say I it might last for um 20-30 minutes at a time and then it goes away.,[],FALSE,FALSE,TN
"Uh, no. It's been about the same.",[],FALSE,FALSE,TN
"No, it's happened about two or three times during the 2 weeks.",[],FALSE,FALSE,TN
I would say a 4 out of 10.,[],FALSE,FALSE,TN
"Um, I don't know I've separated from my husband 2 two years ago which has been really stressful but other than that I mean I can't really think of any changes to my health or anything like that recently.",[],FALSE,FALSE,TN
"Uh, yeah the last couple of years have been a lot more stressful because of those issues in my personal life.",[],FALSE,FALSE,TN
"Uhm, I've tried some Advil, some Tylenol and actually some Tums as well, and it hasn't really helped.",[],FALSE,FALSE,TN
"Oh, it actually I I feel like it happens most of the time when I'm either at work or or driving.",[],FALSE,FALSE,TN
"No, I haven't had anything like this happen before.",[],FALSE,FALSE,TN
"No, previously healthy.",[],FALSE,FALSE,TN
"No, I haven't.",[],FALSE,FALSE,TN
"Uh, no, no fevers.",[],FALSE,FALSE,TN
"Uhm, no, I haven't.",[],FALSE,FALSE,TN
"No, I've been home.",[],FALSE,FALSE,TN
"Uhm, I do not, no medications, just the Tylenol and Advil I tried for the pain.",[],FALSE,FALSE,TN
"Yeah, my father had a heart attack when he was 60 just last year and it's actually one of the reasons what concerns me about the chest pain that I thought I was having.",['chest pain'],TRUE,TRUE,TP
"Yeah, I smoke about half a pack to a pack per day. I've been trying to quit and I was smoking more one pack per day, but so it is down a little bit, but, It's still something I'm trying to work on.",[],FALSE,FALSE,TN
"Um, I do, but, uh, I'll have maybe one or two glasses of wine on the weekend.",[],FALSE,FALSE,TN
Uh no.,[],FALSE,FALSE,TN
"No, I've never been told I've I've had high blood pressure.",[],FALSE,FALSE,TN
"I haven't, but I've actually never been tested either.",[],FALSE,FALSE,TN
"Yeah, actually, I'll either do some running or cycling, probably three or four days per week and I haven't had any chest pain or or problems exercising.",[],FALSE,FALSE,TN
"Uh. I don't think so, no.",[],FALSE,FALSE,TN
"Right, yeah exactly.",[],FALSE,FALSE,TN
"Uh, no, I think that's um, yeah, I think that's all that I wanted to talk about today.",[],FALSE,FALSE,TN
"Awesome, thank you.",[],FALSE,FALSE,TN
"Hey Doc, I'm a 45 year old man coming in, I'm worried there's a little old rash on my leg that I'm getting nervous about.",[],TRUE,FALSE,FN
"I don't really know what I would call it. That's what I told the nurse when I came in, but it more hurts than anything.",[],FALSE,FALSE,TN
"Ah, it's been it's been looking weird for about a week, but only yes, it started hurting yesterday and started looking strange and I just wanted to come in to get it checked out.",[],FALSE,FALSE,TN
"Swollen, it looks bigger than it did before, and meaner, if that makes sense.",[],FALSE,FALSE,TN
"Yeah, it's red, it's turning more red, kind of in the area around it. I've got these I got these scabs. I've got diabetes and I'm not exactly the best with it and scratching at it, and normally it's not that bad, but this is just strange looking and there's no other word for it.",[],FALSE,FALSE,TN
"No no. Well I've had, I have occasional ulcers and sometimes I have banged my toe when I'm not exactly the best taking care of my feet, but this is the first time I've gotten something that I don't know, I've just never seen it before.","['occasional ulcers', 'banged toe']",TRUE,TRUE,TP
"Let me see. I think so, when's the last time I saw the family doc? I think I've got an ulcer on my left heel, but I think it's doing alright.",[],FALSE,FALSE,TN
"Right now it's on my right, so my ankle.",['ankle pain'],TRUE,TRUE,TP
"I stopped measuring them. Yeah, last time I measured it was pretty bad. I think my A1C last time was like 9 something. I'm trying, I'm trying better to be with it. It's hard with work you know?",[],FALSE,FALSE,TN
"Yeah, actually I have gained more, feel hungry, sometimes just tired, but it's hard to tell. There's an awful lot going on in my life right now with the kids, but, It's hard to tell I think. Yeah, I need to see my family doc.",[],TRUE,FALSE,FN
"Symptoms? Um, I feel a little hot actually. When the swelling started it's it also started leaking this like white stuff from one of the one of what used to be a scab so now like kind of an open wound now.","['feeling hot', 'swelling with leakage of white stuff']",TRUE,TRUE,TP
"Honestly, last 12 hours.","['Fatigue', 'Headache', 'Sore throat']",FALSE,TRUE,FP
"No, I don't have a thermometer at home.",[],FALSE,FALSE,TN
"Yeah, yeah it does. Actually changing socks the other day, yeah.",[],FALSE,FALSE,TN
"Aside from just feeling overall crummy last couple weeks, no don't really, less energy today, but I was up last night thinking about this and yeah wanted to come in and talk.",[],FALSE,FALSE,TN
"Yeah, maybe not so much when I touch it. When I walk with it and I start flexing it it, it doesn't like that.",[],FALSE,FALSE,TN
"Just resting it right now, it feels fine.",[],FALSE,FALSE,TN
"Chronic condition? I see the family doc about cholesterol. I'm on a pill for that. Uhm, I had asthma as a kid, not too much of an issue now. And my back, I've had back pain for the last 10 years, but all I really take for it is Tylenol Advil for that.",[],FALSE,FALSE,TN
"It kind of is like a dull ache sometimes when I touch it. But, no like, in the area, the ankle no, but definitely on my feet, like over the years I've noticed I feel less on it compared to what I did previously, yeah.",[],FALSE,FALSE,TN
"I'm taking 4 pills right now. One of them is for the cholesterol. I think it's called. rosuvastatin. The other three, they're all diabetes medications, but I don't remember. Metformin is one of them. Sidas...something I have a list somewhere. I'll give it to you later.","['taking 4 pills right now', 'rosuvastatin', 'metformin']",TRUE,TRUE,TP
"No no, but had them for about a year now.",[],FALSE,FALSE,TN
"Um, yeah, I do actually. Penicillin, can't take that.",[],FALSE,FALSE,TN
"It's been a while, as a kid apparently like my face got bloated and I was having a hard time breathing so...",[],FALSE,FALSE,TN
"Oh yeah, uh, what was it? I had my sinuses, had some pretty bad sinusitis when I was in my teens and they went in and kind of carved a little space out.",['Sinusitis'],TRUE,TRUE,TP
"Yep, mom's side of the family, very much everyone has diabetes, high blood pressure, cholesterol. Dad's side of the the family is pretty healthy. I think maybe one of my aunts had lung cancer, but she's a pretty big smoker too.",[],FALSE,FALSE,TN
"Yeah, I do.",[],FALSE,FALSE,TN
I live in town. I see my kids every two weeks.,[],FALSE,FALSE,TN
"No, I'm currently unemployed and looking for work, partially employed, I suppose we should say I have my own business.",[],FALSE,FALSE,TN
"When I am working, I'm an accountant.","['Fatigue', 'Headache']",FALSE,TRUE,FP
"Yeah once in a while, yeah, when I'm stressed.",[],FALSE,FALSE,TN
"Last couple of weeks, I've been smoking more, maybe like 2 packs a week.",[],FALSE,FALSE,TN
Yeah yeah.,[],FALSE,FALSE,TN
"Average week, maybe a 2 4.",[],FALSE,FALSE,TN
"Yeah, if you average out I mainly go through the two four in a weekend to be honest.",[],FALSE,FALSE,TN
Mhm.,[],FALSE,FALSE,TN
No I just want to get this figured out.,[],FALSE,FALSE,TN
"Thank you doc, yeah sounds great.",[],FALSE,FALSE,TN
"I've just been feeling like very nauseated for, it feels like all the time right now.",[],FALSE,FALSE,TN
"It's been over a week. Maybe not quite two weeks, but like around then. Yeah, maybe like 9 days.",[],FALSE,FALSE,TN
"Oh, I think it's like worse when I am smelling something really bad, and it's worse in the morning. But I feel like it's always kind of there.",[],FALSE,FALSE,TN
"Uh, yeah, like um, yeah, like a lot of days I'll throw up like once or twice.",[],FALSE,FALSE,TN
"Oh no, just, well, like I feel like I've I've had to pee a lot more. Um, but I don't, I don't think that's like related. I think maybe I have just been drinking a lot of water, so yeah.",[],FALSE,FALSE,TN
"Oh, like, I feel like every couple hours right now.",[],FALSE,FALSE,TN
"Probably every probably every like 2, maybe, maybe every hour I get certain times in a day.",[],FALSE,FALSE,TN
"Oh, like it doesn't wake me up but it's like I wake up because I hear something. Then I'll be like, oh I think I should probably go to the bathroom.",[],FALSE,FALSE,TN
Oh I I I can control it. It's just like uncomfortable right?,[],FALSE,FALSE,TN
"No, I don't feel like that.",[],FALSE,FALSE,TN
"I think, I think just 'cause like I was getting I was like throwing up like so like I feel like I was a little dehydrated.",[],FALSE,FALSE,TN
"Ah no, I don't think so, well my stomach has been like it feels like a little crampy. I thought that maybe it could be my period but like I'm not on my period.",[],FALSE,FALSE,TN
"Oh well, let me think. Um, like six weeks ago. I guess that would be, I don't know. I don't really like keep track.",[],FALSE,FALSE,TN
"I think they're I think they're usually pretty regular, but I don't I don't like I don't calculate it like to the day.",[],FALSE,FALSE,TN
"Oh, come to think of it, I don't, I don't think so.",[],FALSE,FALSE,TN
I don't think so.,[],FALSE,FALSE,TN
Oh no.,[],FALSE,FALSE,TN
"Uh, nothing, nothing really.",[],FALSE,FALSE,TN
"No, I mean, I've been taking like like I've been chewing like those ginger things that are supposed to help with nausea, but they weren't really helpful.",[],FALSE,FALSE,TN
"So just like nickel, like in jewelry, if I wear not real jewellery, it'll give me a rash, but it's not food or like or medications or anything.",[],FALSE,FALSE,TN
"Um, like I I just I live with one roommate.",[],FALSE,FALSE,TN
"Uh, no, very rarely because I always get a headache.",[],TRUE,FALSE,FN
"Oh gosh, like like a month ago probably.","['Fatigue', 'Headache']",FALSE,TRUE,FP
Yeah just like with my boyfriend.,[],FALSE,FALSE,TN
"Yeah, we we just use condoms. I used to be on birth control but it always made me feel like like kind of sick so I don't use that anymore.",[],FALSE,FALSE,TN
"Uh, like I don't, I don't think so. I guess my dad my dad has like high blood pressure, yeah, I don't think there's anything else.",[],FALSE,FALSE,TN
"OK, thank you.",[],FALSE,FALSE,TN
"Yeah, so nice to meet you. I've been having this pain right in my abdomen. It's kind of like in the upper right area.",[],TRUE,FALSE,FN
"So it's just in the upper right corner of my abdomen, right below where the lungs are, and it, yeah, it's just I have this severe pain that's going on.",['Abdominal pain located below the lungs'],TRUE,TRUE,TP
So it's been going on for the last few days and it got worse today.,"['Fatigue', 'Headache']",FALSE,TRUE,FP
"So I would say it got worse, just three or four hours ago before I came to the Emergency Department.","['Worsening condition', 'Increased severity']",TRUE,TRUE,TP
"Uh no, it stays right in the in the spot that I told you right in the right upper corner.",[],FALSE,FALSE,TN
So I think it started after just three days ago after I had a meal like I I think it was after lunch around half an hour or an hour after lunch.,[],FALSE,FALSE,TN
"I think it's gotten, it was, it's the worst today, like especially like a few hours ago like 3 hours ago, it was much worse than the other two days.","['feeling unwell', 'worse symptoms']",TRUE,TRUE,TP
"So it's like a sharp, I would describe it as like a sharp pain.",['sharp pain'],TRUE,TRUE,TP
"I would rate it as, right now I would rate it as an 8.",[],FALSE,FALSE,TN
"I think it happened to me a few years back, where I had this pain and then it just kind of went away on its own. I didn't go to the Emergency Department then though.",[],FALSE,FALSE,TN
"I tried taking just like Advil and Tylenol, but it didn't really seem to help the pain too much.",[],TRUE,FALSE,FN
"I've I've had some nausea over the past few days, but I haven't vomited anything.",['nausea'],TRUE,TRUE,TP
"Uh, yeah.",[],FALSE,FALSE,TN
Uh no like we haven't traveled anywhere recently.,[],FALSE,FALSE,TN
"Uh, energy uh when it's hurting a lot like today I've been it's been difficult to move around, I've been pretty drained from the pain but uh otherwise over the last few days it hasn't affected me too much, but today I would say my energy levels are down.","['energy levels', 'pain']",TRUE,TRUE,TP
"I don't think so. I mean, I don't think I've noticed any kind of skin changes.",[],FALSE,FALSE,TN
"No no, no changes.",[],FALSE,FALSE,TN
"No, I don't think so. No changes that I've noticed.",[],FALSE,FALSE,TN
"No, no blood.",['no blood in urine'],FALSE,TRUE,FP
"It's it was around the same before the pain actually started getting worse, so today I didn't really feel like eating. I did have nausea over the past few days, but my appetite I would say is the worst today.",[],TRUE,FALSE,FN
"No, no, I don't think so.",[],FALSE,FALSE,TN
"No, not not that I know of.",[],FALSE,FALSE,TN
"Uh so, I think the only thing is my doctor told me that I should lose some weight, but other than that no medical history.",[],FALSE,FALSE,TN
"Uh no, no allergies.",[],FALSE,FALSE,TN
"Uh not prescribed, sometimes I take like some antacids when I get heartburn. But this is just like a couple times a month after dinner, sometimes at night, but that's about it.",[],FALSE,FALSE,TN
"Just for just when I had my children, at the time of their birth, but that's it.",[],FALSE,FALSE,TN
"Nope, no prior surgeries.",[],FALSE,FALSE,TN
"Um, so my father died of a stroke when he was in his 60s, my mother does have gallstones.",[],FALSE,FALSE,TN
So I work in at the bank as a consultant.,[],FALSE,FALSE,TN
"Uh, yeah sometimes, maybe one or two glasses of wine every night.",[],FALSE,FALSE,TN
"No, not really.",[],FALSE,FALSE,TN
Uh No.,[],FALSE,FALSE,TN
"Uh no, so should I be?",[],FALSE,FALSE,TN
"Uh no, no I've never drank, I don't drink in the morning.",[],FALSE,FALSE,TN
"Uh, no never.",[],FALSE,FALSE,TN
And so I'm living with my two children and my partner.,"['Stress levels high due to family responsibilities', 'Sleep deprivation due to late-night childcare duties']",FALSE,TRUE,FP
"Yeah, the home situation is fine, like kids are doing great and my partner is very supportive. No, no issues that I can think of at home.",[],FALSE,FALSE,TN
"Yeah hi, I'm I I have a pain in my belly. It started a couple hours ago.",[],TRUE,FALSE,FN
It's mostly up here on the right side.,[],FALSE,FALSE,TN
"Oh I guess it's a, it's an aching pain I'd say. It kind of just, um, it would initially just come and go, but now it's just it's staying. It's not going away.",[],TRUE,FALSE,FN
"It's about to a 10, an 8 maybe.",[],FALSE,FALSE,TN
About 8 hours ago.,[],FALSE,FALSE,TN
I was just about to go to sleep. I wasn't doing anything in particular at the time.,[],FALSE,FALSE,TN
"Oh yeah, definitely it would come and go, but now for the past I'd say five to six hours, it's been constant, just there all the time.",[],FALSE,FALSE,TN
"Yeah, uh I I have the same pain that sort of comes and goes after I eat. Usually after I've had something like a something fatty, something from outdoors, maybe like a burger or fries or something. I initially thought it was indigestion, but I don't I don't know what's going on now.",[],TRUE,FALSE,FN
"Well, I guess eating sometimes makes it worse, um, but I don't I don't think there's anything that's making it better.",[],FALSE,FALSE,TN
I tried Tylenol but that didn't do anything.,[],FALSE,FALSE,TN
"I am a little nauseous, but no, I didn't, haven't had I haven't vomited yet, no.",[],FALSE,FALSE,TN
I don't think so. I haven't checked. I don't feel feverish.,[],FALSE,FALSE,TN
"Well the pain is making it difficult for me to do things, um, but I I guess I'm not, uh a little fatigued maybe.",[],FALSE,FALSE,TN
"Nothing that I've noticed, no, I don't think so.",[],FALSE,FALSE,TN
"I have not, no.",[],FALSE,FALSE,TN
"Well, I guess because it's this thing happens usually happens after I eat, I think I've been eating less than usual, just because I don't, I don't want to, you know, I don't like the pain.",[],TRUE,FALSE,FN
I do have diabetes but that's about it I think.,[],FALSE,FALSE,TN
I take metformin.,"['nausea', 'abdominal pain']",TRUE,TRUE,TP
"No, I don't, sorry, no.",[],FALSE,FALSE,TN
"No no, no, I don't.",[],FALSE,FALSE,TN
"No, no I haven't ever. I've been very uh healthy. No hospitalizations.",[],FALSE,FALSE,TN
I got my wisdom teeth removed when I was a teenager.,[],FALSE,FALSE,TN
"No, not that I know of.",[],FALSE,FALSE,TN
My dad had a heart attack when he was in his 60s. But that's it.,[],FALSE,FALSE,TN
What do you mean?,[],FALSE,FALSE,TN
"I usually go out for a run, especially when it's a little bit warmer, which it now is.",[],FALSE,FALSE,TN
"Uh, sometimes.",[],FALSE,FALSE,TN
One to two drinks a day.,[],FALSE,FALSE,TN
"I'll just drink a glass of wine at night, just helps me relax.",[],FALSE,FALSE,TN
"I don't, no.",[],FALSE,FALSE,TN
"Yes, so initially it would come and go, but now, so for the first 2 hours it would come and go. And when I would have this pain when I was eating, it would come and go. But over the past six hours it's just been constant.",[],TRUE,FALSE,FN
"Yeah, sure I had, I've been having diarrhea for the past three to four days, and it's been pretty bad. I couldn't go, uh I couldn't go to my classes, had to skip because it was just it was just embarrassing.",['diarrhea'],TRUE,TRUE,TP
"Um, have I experienced something like this before? Uhm no, I don't think so.",[],FALSE,FALSE,TN
"I think they've mostly been loose. I think they've all been loose actually, if I think about it.",[],FALSE,FALSE,TN
"Oh my god, I have I've lost count. I'm going every every hour.",[],FALSE,FALSE,TN
"No, it's brown.",[],FALSE,FALSE,TN
Um not really. I don't think so. I don't look that much to be honest.,[],FALSE,FALSE,TN
"Well, I didn't start off with pain, but I I I do have a bit of a cramp now since yesterday. It's just it hurts. Yeah, it hurts sometimes, it comes and goes.",[],FALSE,FALSE,TN
"Uh no I do get a warning, but it's just I I do need to get to the toilet really fast, yeah.",[],FALSE,FALSE,TN
"Um, I I did go to um, I did go to a new restaurant 5 days ago.",[],FALSE,FALSE,TN
"Um I I just got some rice with chicken Manchurian, it was a nice little Chinese restaurant, and yeah.",[],FALSE,FALSE,TN
"Um, no not really, I went with my friend and I haven't really, haven't talked to her about this. I never really thought that these were related, that this was related to that.",[],FALSE,FALSE,TN
"Yeah yeah, I have actually, but it's not been as bad as the diarrhea. I didn't even yeah, I didn't, I wasn't even thinking about that. Yeah, I I did vomit, I think twice yesterday.",[],FALSE,FALSE,TN
"No, it's just watery.",[],FALSE,FALSE,TN
It's on and off.,[],FALSE,FALSE,TN
"Uh, not really. I was just trying to drink a lot of water, 'cause I I know that I can get dehydrated so just drinking lots of water.",[],FALSE,FALSE,TN
I have been eating less specially since yesterday when I had my these abdominal cramps started. I just don't feel like eating.,"['Abdominal cramps', 'Eating less']",TRUE,TRUE,TP
Making what worse?,[],FALSE,FALSE,TN
"Not really, I don't think so.",[],FALSE,FALSE,TN
"Um, I've just been feeling really tired and and, I don't know, maybe I haven't checked my checked my temperature.",[],FALSE,FALSE,TN
