file,expected,transcribed,expected_norm,transcribed_norm,cer,wer,mer,wil,wip,hits,substitutions,deletions,insertions,ops,truth,hypothesis
turn_010_D.wav,"OK. Has it been constant throughout that time, or uh, or changing?",okay what has it been constant throughout that time aura or changing,ok has it been constant throughout that time or uh or changing,okay what has it been constant throughout that time aura or changing,0.1935483870967742,0.3333333333333333,0.3076923076923077,0.4375,0.5625,9,2,1,1,"[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=8, hyp_start_idx=2, hyp_end_idx=9), AlignmentChunk(type='substitute', ref_start_idx=8, ref_end_idx=9, hyp_start_idx=9, hyp_end_idx=10), AlignmentChunk(type='delete', ref_start_idx=9, ref_end_idx=10, hyp_start_idx=10, hyp_end_idx=10), AlignmentChunk(type='equal', ref_start_idx=10, ref_end_idx=12, hyp_start_idx=10, hyp_end_idx=12)]]","[['ok', 'has', 'it', 'been', 'constant', 'throughout', 'that', 'time', 'or', 'uh', 'or', 'changing']]","[['okay', 'what', 'has', 'it', 'been', 'constant', 'throughout', 'that', 'time', 'aura', 'or', 'changing']]"
turn_011_P.wav,"I would say it's been pretty constant, yeah.",i would say it's been pretty constant yeah,i would say its been pretty constant yeah,i would say its been pretty constant yeah,0.0,0.0,0.0,0.0,1.0,8,0,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=8, hyp_start_idx=0, hyp_end_idx=8)]]","[['i', 'would', 'say', 'its', 'been', 'pretty', 'constant', 'yeah']]","[['i', 'would', 'say', 'its', 'been', 'pretty', 'constant', 'yeah']]"
turn_012_D.wav,"OK, and how would you describe the pain? People will use words sometimes like sharp, burning, achy.",okay and how would you describe the pain people will use words sometimes like shop burning key,ok and how would you describe the pain people will use words sometimes like sharp burning achy,okay and how would you describe the pain people will use words sometimes like shop burning key,0.07446808510638298,0.17647058823529413,0.17647058823529413,0.32179930795847755,0.6782006920415224,14,3,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=14, hyp_start_idx=1, hyp_end_idx=14), AlignmentChunk(type='substitute', ref_start_idx=14, ref_end_idx=15, hyp_start_idx=14, hyp_end_idx=15), AlignmentChunk(type='equal', ref_start_idx=15, ref_end_idx=16, hyp_start_idx=15, hyp_end_idx=16), AlignmentChunk(type='substitute', ref_start_idx=16, ref_end_idx=17, hyp_start_idx=16, hyp_end_idx=17)]]","[['ok', 'and', 'how', 'would', 'you', 'describe', 'the', 'pain', 'people', 'will', 'use', 'words', 'sometimes', 'like', 'sharp', 'burning', 'achy']]","[['okay', 'and', 'how', 'would', 'you', 'describe', 'the', 'pain', 'people', 'will', 'use', 'words', 'sometimes', 'like', 'shop', 'burning', 'key']]"
turn_013_P.wav,"I'd say it's pretty sharp, yeah.",they say it's pretty sharp yeah,id say its pretty sharp yeah,they say its pretty sharp yeah,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.30555555555555547,0.6944444444444445,5,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=6, hyp_start_idx=1, hyp_end_idx=6)]]","[['id', 'say', 'its', 'pretty', 'sharp', 'yeah']]","[['they', 'say', 'its', 'pretty', 'sharp', 'yeah']]"
turn_014_D.wav,"Sharp OK. Uh, anything that you have done tried since last night that's made the pain better?",shop okay ah anything that you have done tried since last night that's made the pain better,sharp ok uh anything that you have done tried since last night thats made the pain better,shop okay ah anything that you have done tried since last night thats made the pain better,0.056179775280898875,0.17647058823529413,0.17647058823529413,0.32179930795847755,0.6782006920415224,14,3,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=3, hyp_start_idx=0, hyp_end_idx=3), AlignmentChunk(type='equal', ref_start_idx=3, ref_end_idx=17, hyp_start_idx=3, hyp_end_idx=17)]]","[['sharp', 'ok', 'uh', 'anything', 'that', 'you', 'have', 'done', 'tried', 'since', 'last', 'night', 'thats', 'made', 'the', 'pain', 'better']]","[['shop', 'okay', 'ah', 'anything', 'that', 'you', 'have', 'done', 'tried', 'since', 'last', 'night', 'thats', 'made', 'the', 'pain', 'better']]"
turn_015_P.wav,Um not laying down helps.,no to laying down helps,um not laying down helps,no to laying down helps,0.16666666666666666,0.4,0.4,0.64,0.36,3,2,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=2, hyp_start_idx=0, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=5, hyp_start_idx=2, hyp_end_idx=5)]]","[['um', 'not', 'laying', 'down', 'helps']]","[['no', 'to', 'laying', 'down', 'helps']]"
turn_016_D.wav,"OK, so do you find laying down makes the pain worse?",okay so do you find laying down makes the pain worse,ok so do you find laying down makes the pain worse,okay so do you find laying down makes the pain worse,0.04,0.09090909090909091,0.09090909090909091,0.17355371900826455,0.8264462809917354,10,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=11, hyp_start_idx=1, hyp_end_idx=11)]]","[['ok', 'so', 'do', 'you', 'find', 'laying', 'down', 'makes', 'the', 'pain', 'worse']]","[['okay', 'so', 'do', 'you', 'find', 'laying', 'down', 'makes', 'the', 'pain', 'worse']]"
turn_017_P.wav,"Yes, definitely.",yes definitely,yes definitely,yes definitely,0.0,0.0,0.0,0.0,1.0,2,0,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=2, hyp_start_idx=0, hyp_end_idx=2)]]","[['yes', 'definitely']]","[['yes', 'definitely']]"
turn_018_D.wav,"OK, do you find that the pain is radiating anywhere?",okay do you find that the pain is radiating anywhere,ok do you find that the pain is radiating anywhere,okay do you find that the pain is radiating anywhere,0.04,0.1,0.1,0.18999999999999995,0.81,9,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=10, hyp_start_idx=1, hyp_end_idx=10)]]","[['ok', 'do', 'you', 'find', 'that', 'the', 'pain', 'is', 'radiating', 'anywhere']]","[['okay', 'do', 'you', 'find', 'that', 'the', 'pain', 'is', 'radiating', 'anywhere']]"
turn_019_P.wav,No.,no,no,no,0.0,0.0,0.0,0.0,1.0,1,0,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1)]]",[['no']],[['no']]
turn_020_D.wav,"OK, and is there anything else that makes the pain worse besides laying down?",okay and is there anything else that makes the pain worse besides laying down,ok and is there anything else that makes the pain worse besides laying down,okay and is there anything else that makes the pain worse besides laying down,0.02666666666666667,0.07142857142857142,0.07142857142857142,0.1377551020408163,0.8622448979591837,13,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=14, hyp_start_idx=1, hyp_end_idx=14)]]","[['ok', 'and', 'is', 'there', 'anything', 'else', 'that', 'makes', 'the', 'pain', 'worse', 'besides', 'laying', 'down']]","[['okay', 'and', 'is', 'there', 'anything', 'else', 'that', 'makes', 'the', 'pain', 'worse', 'besides', 'laying', 'down']]"
turn_021_P.wav,"Not that I've noticed, no.",not that i've noticed know,not that ive noticed no,not that ive noticed know,0.08695652173913043,0.2,0.2,0.3599999999999999,0.6400000000000001,4,1,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=4, hyp_start_idx=0, hyp_end_idx=4), AlignmentChunk(type='substitute', ref_start_idx=4, ref_end_idx=5, hyp_start_idx=4, hyp_end_idx=5)]]","[['not', 'that', 'ive', 'noticed', 'no']]","[['not', 'that', 'ive', 'noticed', 'know']]"
turn_022_D.wav,"OK, so not like taking a deep breath or anything like that?",okay so not like taking a deep breath or anything like that,ok so not like taking a deep breath or anything like that,okay so not like taking a deep breath or anything like that,0.03508771929824561,0.08333333333333333,0.08333333333333333,0.15972222222222232,0.8402777777777777,11,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=12, hyp_start_idx=1, hyp_end_idx=12)]]","[['ok', 'so', 'not', 'like', 'taking', 'a', 'deep', 'breath', 'or', 'anything', 'like', 'that']]","[['okay', 'so', 'not', 'like', 'taking', 'a', 'deep', 'breath', 'or', 'anything', 'like', 'that']]"
turn_023_P.wav,Maybe taking a deep breath. Yeah.,may be taking a deep breath yeah one went in law,maybe taking a deep breath yeah,may be taking a deep breath yeah one went in law,0.5483870967741935,1.0,0.5454545454545454,0.6212121212121212,0.3787878787878788,5,1,0,5,"[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=6, hyp_start_idx=2, hyp_end_idx=7), AlignmentChunk(type='insert', ref_start_idx=6, ref_end_idx=6, hyp_start_idx=7, hyp_end_idx=11)]]","[['maybe', 'taking', 'a', 'deep', 'breath', 'yeah']]","[['may', 'be', 'taking', 'a', 'deep', 'breath', 'yeah', 'one', 'went', 'in', 'law']]"
turn_024_D.wav,"OK. And when the pain started, could you tell me uh, could you think of anything that you were doing at the time?",okay why and when the pain started could you tell me i could you think of anything that you were doing at the time,ok and when the pain started could you tell me uh could you think of anything that you were doing at the time,okay why and when the pain started could you tell me i could you think of anything that you were doing at the time,0.07339449541284404,0.13043478260869565,0.125,0.20108695652173914,0.7989130434782609,21,2,0,1,"[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=10, hyp_start_idx=2, hyp_end_idx=11), AlignmentChunk(type='substitute', ref_start_idx=10, ref_end_idx=11, hyp_start_idx=11, hyp_end_idx=12), AlignmentChunk(type='equal', ref_start_idx=11, ref_end_idx=23, hyp_start_idx=12, hyp_end_idx=24)]]","[['ok', 'and', 'when', 'the', 'pain', 'started', 'could', 'you', 'tell', 'me', 'uh', 'could', 'you', 'think', 'of', 'anything', 'that', 'you', 'were', 'doing', 'at', 'the', 'time']]","[['okay', 'why', 'and', 'when', 'the', 'pain', 'started', 'could', 'you', 'tell', 'me', 'i', 'could', 'you', 'think', 'of', 'anything', 'that', 'you', 'were', 'doing', 'at', 'the', 'time']]"
turn_025_P.wav,"I mean, I was moving some furniture around, but, that I've done that before.",i mean i was moving some furniture around butts that i've done that before,i mean i was moving some furniture around but that ive done that before,i mean i was moving some furniture around butts that ive done that before,0.028169014084507043,0.07142857142857142,0.07142857142857142,0.1377551020408163,0.8622448979591837,13,1,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=8, hyp_start_idx=0, hyp_end_idx=8), AlignmentChunk(type='substitute', ref_start_idx=8, ref_end_idx=9, hyp_start_idx=8, hyp_end_idx=9), AlignmentChunk(type='equal', ref_start_idx=9, ref_end_idx=14, hyp_start_idx=9, hyp_end_idx=14)]]","[['i', 'mean', 'i', 'was', 'moving', 'some', 'furniture', 'around', 'but', 'that', 'ive', 'done', 'that', 'before']]","[['i', 'mean', 'i', 'was', 'moving', 'some', 'furniture', 'around', 'butts', 'that', 'ive', 'done', 'that', 'before']]"
turn_026_D.wav,"OK, so you didn't feel like you hurt yourself when you were doing that?",okay so you didn't feel like you hurt yourself when you are doing that,ok so you didnt feel like you hurt yourself when you were doing that,okay so you didnt feel like you hurt yourself when you are doing that,0.058823529411764705,0.14285714285714285,0.14285714285714285,0.26530612244897966,0.7346938775510203,12,2,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=11, hyp_start_idx=1, hyp_end_idx=11), AlignmentChunk(type='substitute', ref_start_idx=11, ref_end_idx=12, hyp_start_idx=11, hyp_end_idx=12), AlignmentChunk(type='equal', ref_start_idx=12, ref_end_idx=14, hyp_start_idx=12, hyp_end_idx=14)]]","[['ok', 'so', 'you', 'didnt', 'feel', 'like', 'you', 'hurt', 'yourself', 'when', 'you', 'were', 'doing', 'that']]","[['okay', 'so', 'you', 'didnt', 'feel', 'like', 'you', 'hurt', 'yourself', 'when', 'you', 'are', 'doing', 'that']]"
turn_027_P.wav,No.,no te,no,no te,1.5,1.0,0.5,0.5,0.5,1,0,0,1,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='insert', ref_start_idx=1, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2)]]",[['no']],"[['no', 'te']]"
turn_028_D.wav,"OK, and in regards to how severe the pain is on a scale of 1 to 10, 10 being the worst pain you've ever felt, how severe would you say the pain is?",okay and in regards to how severe the pain is on a scale of one to ten ten being the worst pain you've ever felt how severe would you say the pain is,ok and in regards to how severe the pain is on a scale of 1 to 10 10 being the worst pain youve ever felt how severe would you say the pain is,okay and in regards to how severe the pain is on a scale of one to ten ten being the worst pain youve ever felt how severe would you say the pain is,0.07746478873239436,0.12121212121212122,0.12121212121212122,0.2277318640955005,0.7722681359044995,29,4,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=14, hyp_start_idx=1, hyp_end_idx=14), AlignmentChunk(type='substitute', ref_start_idx=14, ref_end_idx=15, hyp_start_idx=14, hyp_end_idx=15), AlignmentChunk(type='equal', ref_start_idx=15, ref_end_idx=16, hyp_start_idx=15, hyp_end_idx=16), AlignmentChunk(type='substitute', ref_start_idx=16, ref_end_idx=18, hyp_start_idx=16, hyp_end_idx=18), AlignmentChunk(type='equal', ref_start_idx=18, ref_end_idx=33, hyp_start_idx=18, hyp_end_idx=33)]]","[['ok', 'and', 'in', 'regards', 'to', 'how', 'severe', 'the', 'pain', 'is', 'on', 'a', 'scale', 'of', '1', 'to', '10', '10', 'being', 'the', 'worst', 'pain', 'youve', 'ever', 'felt', 'how', 'severe', 'would', 'you', 'say', 'the', 'pain', 'is']]","[['okay', 'and', 'in', 'regards', 'to', 'how', 'severe', 'the', 'pain', 'is', 'on', 'a', 'scale', 'of', 'one', 'to', 'ten', 'ten', 'being', 'the', 'worst', 'pain', 'youve', 'ever', 'felt', 'how', 'severe', 'would', 'you', 'say', 'the', 'pain', 'is']]"
turn_029_P.wav,I'd say it's like a seven or eight. It's pretty bad.,i'd say it's like a seven or eight it's pretty bad,id say its like a seven or eight its pretty bad,id say its like a seven or eight its pretty bad,0.0,0.0,0.0,0.0,1.0,11,0,0,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=11, hyp_start_idx=0, hyp_end_idx=11)]]","[['id', 'say', 'its', 'like', 'a', 'seven', 'or', 'eight', 'its', 'pretty', 'bad']]","[['id', 'say', 'its', 'like', 'a', 'seven', 'or', 'eight', 'its', 'pretty', 'bad']]"
turn_030_D.wav,"OK, and with the pain, do you have any other associated symptoms?",okay and with the pain do you have any other associated symptoms,ok and with the pain do you have any other associated symptoms,okay and with the pain do you have any other associated symptoms,0.03225806451612903,0.08333333333333333,0.08333333333333333,0.15972222222222232,0.8402777777777777,11,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=12, hyp_start_idx=1, hyp_end_idx=12)]]","[['ok', 'and', 'with', 'the', 'pain', 'do', 'you', 'have', 'any', 'other', 'associated', 'symptoms']]","[['okay', 'and', 'with', 'the', 'pain', 'do', 'you', 'have', 'any', 'other', 'associated', 'symptoms']]"
turn_031_P.wav,I feel a little lightheaded and I'm having some trouble breathing.,i feel little lightheaded and i'm having some trouble breathing,i feel a little lightheaded and im having some trouble breathing,i feel little lightheaded and im having some trouble breathing,0.03125,0.09090909090909091,0.09090909090909091,0.09090909090909094,0.9090909090909091,10,0,1,0,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=2, hyp_start_idx=0, hyp_end_idx=2), AlignmentChunk(type='delete', ref_start_idx=2, ref_end_idx=3, hyp_start_idx=2, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=3, ref_end_idx=11, hyp_start_idx=2, hyp_end_idx=10)]]","[['i', 'feel', 'a', 'little', 'lightheaded', 'and', 'im', 'having', 'some', 'trouble', 'breathing']]","[['i', 'feel', 'little', 'lightheaded', 'and', 'im', 'having', 'some', 'trouble', 'breathing']]"
turn_032_D.wav,OK. Have you had any loss of consciousness?,okay why have you had any loss of consciousness,ok have you had any loss of consciousness,okay why have you had any loss of consciousness,0.14634146341463414,0.25,0.2222222222222222,0.3194444444444444,0.6805555555555556,7,1,0,1,"[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=2), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=8, hyp_start_idx=2, hyp_end_idx=9)]]","[['ok', 'have', 'you', 'had', 'any', 'loss', 'of', 'consciousness']]","[['okay', 'why', 'have', 'you', 'had', 'any', 'loss', 'of', 'consciousness']]"
turn_033_P.wav,No.,no time did they didn't they seem tall,no,no time did they didnt they seem tall,17.5,7.0,0.875,0.875,0.125,1,0,0,7,"[[AlignmentChunk(type='equal', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='insert', ref_start_idx=1, ref_end_idx=1, hyp_start_idx=1, hyp_end_idx=8)]]",[['no']],"[['no', 'time', 'did', 'they', 'didnt', 'they', 'seem', 'tall']]"
turn_034_D.wav,"OK. Uh, have you been experiencing any like racing of the heart?",okay why ah have you been experiencing any like racing of the heart,ok uh have you been experiencing any like racing of the heart,okay why ah have you been experiencing any like racing of the heart,0.11475409836065574,0.25,0.23076923076923078,0.3589743589743589,0.6410256410256411,10,2,0,1,"[[AlignmentChunk(type='insert', ref_start_idx=0, ref_end_idx=0, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=2, hyp_start_idx=1, hyp_end_idx=3), AlignmentChunk(type='equal', ref_start_idx=2, ref_end_idx=12, hyp_start_idx=3, hyp_end_idx=13)]]","[['ok', 'uh', 'have', 'you', 'been', 'experiencing', 'any', 'like', 'racing', 'of', 'the', 'heart']]","[['okay', 'why', 'ah', 'have', 'you', 'been', 'experiencing', 'any', 'like', 'racing', 'of', 'the', 'heart']]"
turn_035_P.wav,"Um, a little bit, yeah.",i'm a little bit yeah,um a little bit yeah,im a little bit yeah,0.05,0.2,0.2,0.3599999999999999,0.6400000000000001,4,1,0,0,"[[AlignmentChunk(type='substitute', ref_start_idx=0, ref_end_idx=1, hyp_start_idx=0, hyp_end_idx=1), AlignmentChunk(type='equal', ref_start_idx=1, ref_end_idx=5, hyp_start_idx=1, hyp_end_idx=5)]]","[['um', 'a', 'little', 'bit', 'yeah']]","[['im', 'a', 'little', 'bit', 'yeah']]"
